elapsed_ms,scale,yaw_degrees,alpha,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,BL_x,BL_y,sample_type
0,0.5,29.999999999999996,0.0,484.9232070668222,231.42857142857144,1329.5041722813605,300.0,1329.5041722813605,780.0,484.9232070668222,848.5714285714286,"interpolated model, not additional recorded frames"
10,0.5166644329076232,28.95829997398691,0.30303030303030304,463.97391803985494,221.11600295380782,1345.7373442901082,292.01814857974307,1345.7373442901082,787.9818514202569,463.97391803985494,858.8839970461922,"interpolated model, not additional recorded frames"
20,0.5538169643746911,26.645450989217505,0.6060606060606061,417.41886406362937,198.53399897650831,1382.7071370616363,273.97505711762716,1382.7071370616363,806.0249428823729,417.41886406362937,881.4660010234917,"interpolated model, not additional recorded frames"
30,0.5921964435175009,24.279829685596564,0.9090909090909091,369.9344443235169,175.88111360346664,1421.9756847520366,254.9230788749602,1421.9756847520366,825.0769211250398,369.9344443235169,904.1188863965333,"interpolated model, not additional recorded frames"
40,0.6188881073648836,22.675572893743315,1,337.5357284391723,160.5319252185393,1449.7795734534438,241.4194704868272,1449.7795734534438,838.5805295131728,337.5357284391723,919.4680747814607,"interpolated model, not additional recorded frames"
50,0.642644364577172,21.26908392154557,1,309.2296686839784,147.18598608936077,1474.900734011164,229.19876282091923,1474.900734011164,850.8012371790808,309.2296686839784,932.8140139106392,"interpolated model, not additional recorded frames"
60,0.6650465230942333,19.956023485529293,1,283.06570967769085,134.90018513359468,1498.9444670513794,217.47784837161163,1498.9444670513794,862.5221516283884,283.06570967769085,945.0998148664053,"interpolated model, not additional recorded frames"
70,0.6868098744055572,18.687288230530537,1,258.20481808929014,123.27082584485191,1522.668842270961,205.88467973802068,1522.668842270961,874.1153202619794,258.20481808929014,956.729174155148,"interpolated model, not additional recorded frames"
80,0.7086497100006333,17.41377480138537,1,233.8785881654726,111.93793965319094,1546.891054311246,194.01682168706822,1546.891054311246,885.9831783129318,233.8785881654726,968.0620603468091,"interpolated model, not additional recorded frames"
90,0.731281321368951,16.086379842929837,1,209.4129027601141,100.58966791400684,1572.4884597564487,181.43567283517388,1572.4884597564487,898.5643271648262,209.4129027601141,979.4103320859931,"interpolated model, not additional recorded frames"
100,0.75542,14.656000000000002,1,184.2584511763721,88.96991507619185,1600.4055806557926,167.65668041517546,1600.4055806557926,912.3433195848245,184.2584511763721,991.0300849238081,"interpolated model, not additional recorded frames"
110,0.7843123837638228,12.922202584968606,1,155.58368024221534,75.75872877423404,1634.7020235098103,150.61888303421648,1634.7020235098103,929.3811169657836,155.58368024221534,1004.241271225766,"interpolated model, not additional recorded frames"
120,0.815509823275179,11.034519963562737,1,126.53747421953653,62.34649287052116,1672.7863884276808,131.50542737620805,1672.7863884276808,948.494572623792,126.53747421953653,1017.6535071294788,"interpolated model, not additional recorded frames"
130,0.8411846791406331,9.468796360649971,1,104.25453084907474,51.994261941582806,1704.9878007459472,115.15600765229021,1704.9878007459472,964.8439923477098,104.25453084907474,1028.0057380584171,"interpolated model, not additional recorded frames"
140,0.8565782401042425,8.516778521643301,1,91.67582969563477,46.121426199412895,1724.740199447581,105.03710025858163,1724.740199447581,974.9628997414184,91.67582969563477,1033.8785738005872,"interpolated model, not additional recorded frames"
150,0.8677094659922184,7.821355585130616,1,82.96722866879725,42.03660580372224,1739.2444236372028,97.55906644865155,1739.2444236372028,982.4409335513485,82.96722866879725,1037.9633941962777,"interpolated model, not additional recorded frames"
160,0.87744313756032,7.212191759254184,1,75.60776865354092,38.56199723061593,1752.0551691530254,90.91581763604341,1752.0551691530254,989.0841823639566,75.60776865354092,1041.4380027693842,"interpolated model, not additional recorded frames"
170,0.8881963648270796,6.545327813313,1,67.71982819171944,34.79950017636543,1766.2942543010251,83.48390432985474,1766.2942543010251,996.5160956701452,67.71982819171944,1045.2004998236346,"interpolated model, not additional recorded frames"
180,0.9005159559751712,5.7846470677371995,1,59.019162664107625,30.60430985369794,1782.7553298085131,74.83137300831481,1782.7553298085131,1005.1686269916852,59.019162664107625,1049.395690146302,"interpolated model, not additional recorded frames"
190,0.912393424894483,5.055216157926301,1,50.96797133193013,26.67276577049597,1798.7735473245712,66.34748654141026,1798.7735473245712,1013.6525134585897,50.96797133193013,1053.327234229504,"interpolated model, not additional recorded frames"
200,0.92165,4.495,1,44.88739517448539,23.66099227882853,1811.3165633218991,59.65698292830314,1811.3165633218991,1020.3430170716969,44.88739517448539,1056.3390077211716,"interpolated model, not additional recorded frames"
