frame,source_seconds,elapsed_ms,x,y,width,height,scale_x,center_dx,estimated_opacity,mean_pixel_change
1920,32.0,0.0,,,,,,,,
1921,32.016667,16.667,,,,,,,,0.209202
1922,32.033333,33.333,472,350,156,154,0.629032,326.0,0.5966,3.236379
1923,32.05,50.0,456,332,168,168,0.677419,316.0,0.7531,2.070829
1924,32.066667,66.667,456,332,168,168,0.677419,316.0,0.7531,0.108195
1925,32.083333,83.333,420,301,190,189,0.766129,291.0,1,4.633152
1926,32.1,100.0,406,286,198,198,0.798387,281.0,1,2.504126
1927,32.116667,116.667,392,276,206,206,0.830645,271.0,1,2.231902
1928,32.133333,133.333,378,268,212,210,0.854839,260.0,1,2.434988
1929,32.15,150.0,366,261,214,215,0.862903,249.0,1,2.724259
1930,32.166667,166.667,354,254,219,220,0.883065,239.5,1,2.886145
1931,32.183333,183.333,344,249,222,223,0.895161,231.0,1,3.007628
1932,32.2,200.0,332,245,226,225,0.91129,221.0,1,3.259015
1933,32.216667,216.667,322,241,228,227,0.919355,212.0,1,3.717476
1934,32.233333,233.333,312,237,232,231,0.935484,204.0,1,3.429044
1935,32.25,250.0,304,234,234,232,0.943548,197.0,0.9991,3.257484
1936,32.266667,266.667,296,232,234,234,0.943548,189.0,0.9985,3.373011
1937,32.283333,283.333,280,226,238,238,0.959677,175.0,0.9998,5.335258
1938,32.3,300.0,272,225,240,239,0.967742,168.0,1,3.127058
1939,32.316667,316.667,266,224,240,238,0.967742,162.0,0.9991,3.183431
1940,32.333333,333.333,260,222,240,240,0.967742,156.0,0.9955,3.275908
1941,32.35,350.0,252,220,243,242,0.979839,149.5,1,3.108807
1942,32.366667,366.667,248,220,242,242,0.975806,145.0,1,2.948424
1943,32.383333,383.333,242,218,243,242,0.979839,139.5,1,2.888227
1944,32.4,400.0,236,218,244,242,0.983871,134.0,1,2.932366
1945,32.416667,416.667,230,216,246,244,0.991935,129.0,1,2.812134
1946,32.433333,433.333,226,216,245,244,0.987903,124.5,1,2.635553
1947,32.45,450.0,222,216,245,244,0.987903,120.5,1,2.638573
1948,32.466667,466.667,216,214,246,246,0.991935,115.0,1,2.590601
1949,32.483333,483.333,212,214,246,246,0.991935,111.0,1,2.601329
1950,32.5,500.0,208,214,247,246,0.995968,107.5,1,2.405601
1951,32.516667,516.667,204,214,247,246,0.995968,103.5,1,2.370817
1952,32.533333,533.333,200,212,248,248,1.0,100.0,1,2.448139
1953,32.55,550.0,196,212,248,248,1.0,96.0,1,2.253997
1954,32.566667,566.667,190,212,248,246,1.0,90.0,1,3.459033
1955,32.583333,583.333,190,212,248,246,1.0,90.0,1,0.092098
1956,32.6,600.0,184,212,248,246,1.0,84.0,1,3.412173
1957,32.616667,616.667,180,212,248,246,1.0,80.0,1,1.973709
1958,32.633333,633.333,178,212,248,246,1.0,78.0,1,1.982801
1959,32.65,650.0,174,210,248,248,1.0,74.0,1,2.107863
1960,32.666667,666.667,174,212,248,246,1.0,74.0,1,0.128015
1961,32.683333,683.333,170,212,248,246,1.0,70.0,1,2.985322
1962,32.7,700.0,168,212,248,246,1.0,68.0,1,1.861528
1963,32.716667,716.667,164,212,248,246,1.0,64.0,1,1.823741
1964,32.733333,733.333,162,212,248,246,1.0,62.0,1,1.767305
1965,32.75,750.0,160,212,248,246,1.0,60.0,1,1.669721
1966,32.766667,766.667,158,212,248,246,1.0,58.0,0.9994,1.670323
1967,32.783333,783.333,156,212,248,246,1.0,56.0,1,1.675117
1968,32.8,800.0,154,212,248,246,1.0,54.0,1,1.648007
1969,32.816667,816.667,152,212,248,246,1.0,52.0,1,1.575398
1970,32.833333,833.333,148,212,248,246,1.0,48.0,1,2.376674
1971,32.85,850.0,146,212,248,246,1.0,46.0,1,1.458844
1972,32.866667,866.667,144,212,250,246,1.008065,45.0,1,1.425187
1973,32.883333,883.333,144,212,248,246,1.0,44.0,1,1.360763
1974,32.9,900.0,142,212,248,246,1.0,42.0,1,1.470967
1975,32.916667,916.667,140,212,248,246,1.0,40.0,1,1.347127
1976,32.933333,933.333,138,212,248,246,1.0,38.0,1,1.356388
1977,32.95,950.0,138,212,248,246,1.0,38.0,1,1.217205
1978,32.966667,966.667,136,212,248,246,1.0,36.0,1,1.386551
1979,32.983333,983.333,134,212,248,246,1.0,34.0,1,1.28187
1980,33.0,1000.0,134,212,248,246,1.0,34.0,1,1.223838
1981,33.016667,1016.667,132,212,248,246,1.0,32.0,1,1.216266
1982,33.033333,1033.333,130,212,249,246,1.004032,30.5,1,1.294176
1983,33.05,1050.0,128,210,248,248,1.0,28.0,0.9995,1.94844
1984,33.066667,1066.667,128,212,248,246,1.0,28.0,1,1.157238
1985,33.083333,1083.333,126,212,249,246,1.004032,26.5,1,1.131639
1986,33.1,1100.0,126,212,248,246,1.0,26.0,1,1.079721
1987,33.116667,1116.667,124,212,248,246,1.0,24.0,1,1.098831
1988,33.133333,1133.333,124,212,248,246,1.0,24.0,1,1.114778
1989,33.15,1150.0,122,212,249,246,1.004032,22.5,1,1.063864
1990,33.166667,1166.667,122,212,248,246,1.0,22.0,1,0.953827
1991,33.183333,1183.333,122,212,248,246,1.0,22.0,1,0.877256
1992,33.2,1200.0,120,212,248,246,1.0,20.0,1,0.980342
1993,33.216667,1216.667,120,212,248,246,1.0,20.0,1,1.00522
1994,33.233333,1233.333,118,212,249,246,1.004032,18.5,1,0.9117
1995,33.25,1250.0,118,212,248,246,1.0,18.0,1,0.927632
1996,33.266667,1266.667,118,212,248,246,1.0,18.0,1,0.777281
1997,33.283333,1283.333,116,212,248,246,1.0,16.0,1,0.966331
1998,33.3,1300.0,116,212,248,246,1.0,16.0,1,0.932484
1999,33.316667,1316.667,114,212,249,246,1.004032,14.5,1,1.344364
2000,33.333333,1333.333,114,212,249,246,1.004032,14.5,1,0.183114
2001,33.35,1350.0,114,212,248,246,1.0,14.0,1,1.309687
2002,33.366667,1366.667,112,212,249,246,1.004032,12.5,1,0.754009
2003,33.383333,1383.333,112,212,248,246,1.0,12.0,1,0.672482
2004,33.4,1400.0,112,212,248,246,1.0,12.0,1,0.819278
2005,33.416667,1416.667,112,212,248,246,1.0,12.0,1,0.506873
2006,33.433333,1433.333,110,212,249,246,1.004032,10.5,1,0.688223
2007,33.45,1450.0,110,212,248,246,1.0,10.0,1,0.623685
2008,33.466667,1466.667,110,212,248,246,1.0,10.0,1,0.659862
2009,33.483333,1483.333,110,212,248,246,1.0,10.0,1,0.592732
2010,33.5,1500.0,110,212,248,246,1.0,10.0,1,0.592586
2011,33.516667,1516.667,108,212,248,246,1.0,8.0,1,0.599688
2012,33.533333,1533.333,108,212,248,246,1.0,8.0,1,0.454129
2013,33.55,1550.0,108,212,248,246,1.0,8.0,1,0.955306
